species	feature	bp
zTIL25	upstream_distal	6766102
zdiplg	upstream_distal	6697695
zdiplm	upstream_distal	6642450
zhuehu	upstream_distal	6787813
zluxur	upstream_distal	6642837
znicar	upstream_distal	6241940
aburma	downstream_distal	4865964
achine	downstream_distal	4735329
agerar	downstream_distal	4766507
avirgi	downstream_distal	4516165
blagur	downstream_distal	4744144
ccitra	downstream_distal	4694195
crefra	downstream_distal	4494057
etrips	downstream_distal	4914790
hcompr	downstream_distal	4860326
hconto	downstream_distal	4529729
irugos	downstream_distal	4761414
ppanic	downstream_distal	4527599
rrottb	downstream_distal	4909870
rtuber	downstream_distal	4830622
sbicol	downstream_distal	4560125
smicro	downstream_distal	4304964
snutan	downstream_distal	4923049
sscopa	downstream_distal	4639305
sspont	downstream_distal	4904554
tdactn	downstream_distal	5115662
udigit	downstream_distal	4974741
vcuspi	downstream_distal	4872720
zB73v5	downstream_distal	5703097
zTIL01	downstream_distal	5484691
zTIL11	downstream_distal	5488431
zTIL18	downstream_distal	5412659
zTIL25	downstream_distal	5413940
zdiplg	downstream_distal	5410382
zhuehu	downstream_distal	5480751
zluxur	downstream_distal	5363325
tdacts	downstream_distal	5107742
tzopol	downstream_distal	5256876
zdiplm	downstream_distal	5382844
znicar	downstream_distal	5056053
pvagin	downstream_distal	4007607
telega	downstream_distal	4814725
ttrian	downstream_distal	4277329
avirgi	upstream_distal	5706537
pvagin	upstream_distal	5084184
snutan	upstream_distal	6191835
telega	upstream_distal	6060355
aburma	downstream	1728961
achine	downstream	1701590
agerar	downstream	1700052
avirgi	downstream	1613767
blagur	downstream	1715861
ccitra	downstream	1695381
crefra	downstream	1628227
etrips	downstream	1711711
hcompr	downstream	1742443
hconto	downstream	1645391
irugos	downstream	1668384
ppanic	downstream	1622818
pvagin	downstream	1464588
rtuber	downstream	1689396
sbicol	downstream	1661697
smicro	downstream	1531036
snutan	downstream	1729909
sscopa	downstream	1636461
sspont	downstream	1745809
tdactn	downstream	1778032
tdacts	downstream	1760486
telega	downstream	1726778
ttrian	downstream	1513341
tzopol	downstream	1823269
udigit	downstream	1757702
zB73v5	downstream	1933117
zTIL01	downstream	1864448
zTIL11	downstream	1866057
zTIL18	downstream	1861332
zTIL25	downstream	1857188
zdiplg	downstream	1834578
zdiplm	downstream	1832461
zhuehu	downstream	1861755
zluxur	downstream	1812721
znicar	downstream	1653515
rrottb	downstream	1748436
vcuspi	downstream	1704794
aburma	upstream	2039174
achine	upstream	1974816
agerar	upstream	1966330
avirgi	upstream	1859595
blagur	upstream	1974270
ccitra	upstream	1962699
crefra	upstream	1869881
etrips	upstream	2037003
hcompr	upstream	2023314
hconto	upstream	1878570
irugos	upstream	1981823
ppanic	upstream	1874924
pvagin	upstream	1679155
rrottb	upstream	2037250
rtuber	upstream	1969306
sbicol	upstream	1877553
smicro	upstream	1754806
snutan	upstream	2042893
sscopa	upstream	1907236
sspont	upstream	2021612
tdactn	upstream	2122371
tdacts	upstream	2102245
telega	upstream	2015829
ttrian	upstream	1751100
tzopol	upstream	2177968
udigit	upstream	2071655
zB73v5	upstream	2331627
zTIL01	upstream	2258549
zTIL11	upstream	2257255
zTIL18	upstream	2237011
zTIL25	upstream	2249043
zdiplg	upstream	2229161
zdiplm	upstream	2224857
zhuehu	upstream	2256764
zluxur	upstream	2205836
irugos	five_prime_UTR	2143198
smicro	five_prime_UTR	1961925
ttrian	five_prime_UTR	1905286
vcuspi	upstream	1993475
znicar	upstream	1991120
